2021-05-15 17:01:41 DEBUG logging:112 - Logging Provider: org.jboss.logging.Log4jLoggerProvider
2021-05-15 17:01:41 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
2021-05-15 17:01:41 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
2021-05-15 17:01:41 DEBUG IntegratorServiceImpl:46 - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
2021-05-15 17:01:42 INFO  Version:46 - HHH000412: Hibernate Core {5.4.10.Final}
2021-05-15 17:01:42 DEBUG Environment:199 - HHH000206: hibernate.properties not found
2021-05-15 17:01:42 DEBUG LocalXmlResourceResolver:57 - Interpreting public/system identifier : [null] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
2021-05-15 17:01:42 DEBUG LocalXmlResourceResolver:85 - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
2021-05-15 17:01:42 DEBUG JaxbCfgProcessor:116 - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
2021-05-15 17:01:42 DEBUG ServiceBinding:68 - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
2021-05-15 17:01:42 DEBUG RegionFactoryInitiator:118 - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
2021-05-15 17:01:42 DEBUG RegionFactoryInitiator:49 - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
2021-05-15 17:01:42 INFO  Version:49 - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2021-05-15 17:01:43 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@6a84a97d
2021-05-15 17:01:43 DEBUG BasicTypeRegistry:156 - Adding type registration boolean -> org.hibernate.type.BooleanType@6a84a97d
2021-05-15 17:01:43 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@6a84a97d
2021-05-15 17:01:43 DEBUG BasicTypeRegistry:156 - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@57af006c
2021-05-15 17:01:43 DEBUG BasicTypeRegistry:156 - Adding type registration true_false -> org.hibernate.type.TrueFalseType@d29f28
2021-05-15 17:01:43 DEBUG BasicTypeRegistry:156 - Adding type registration yes_no -> org.hibernate.type.YesNoType@3514a4c0
2021-05-15 17:01:43 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@2df9b86
2021-05-15 17:01:43 DEBUG BasicTypeRegistry:156 - Adding type registration byte -> org.hibernate.type.ByteType@2df9b86
2021-05-15 17:01:43 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@2df9b86
2021-05-15 17:01:43 DEBUG BasicTypeRegistry:156 - Adding type registration character -> org.hibernate.type.CharacterType@50b5ac82
2021-05-15 17:01:43 DEBUG BasicTypeRegistry:156 - Adding type registration char -> org.hibernate.type.CharacterType@50b5ac82
2021-05-15 17:01:43 DEBUG BasicTypeRegistry:156 - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@50b5ac82
2021-05-15 17:01:43 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@24fcf36f
2021-05-15 17:01:43 DEBUG BasicTypeRegistry:156 - Adding type registration short -> org.hibernate.type.ShortType@24fcf36f
